user_id,primary_org_id
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,1
18,2
19,3
20,4
21,5
22,6
23,7
24,8
25,9
26,10
27,11
28,12
29,13
30,14
31,15
32,16
33,1
34,2
35,3
36,4
37,5
38,6
39,7
40,8
41,9
42,10
43,11
44,12
45,13
46,14
47,15
48,16
49,1
50,2
51,3
52,4
53,5
54,6
55,7
56,8
57,9
58,10
59,11
60,12
61,13
62,14
63,15
64,16
65,1
66,2
67,3
68,4
69,5
70,6
71,7
72,8
73,9
74,10
75,11
76,12
77,13
78,14
79,15
80,16
81,1
82,2
83,3
84,4
85,5
86,6
87,7
88,8
89,9
90,10
91,11
92,12
93,13
94,14
95,15
96,16
97,1
98,2
99,3
100,4
101,5
102,6
103,7
104,8
105,9
106,10
107,11
108,12
109,13
110,14
111,15
112,16
113,1
114,2
115,3
116,4
117,5
118,6
119,7
120,8
121,9
122,10
123,11
124,12
125,13
126,14
127,15
128,16
129,1
130,2
131,3
132,4
133,5
134,6
135,7
136,8
137,9
138,10
139,11
140,12
141,13
142,14
143,15
144,16
145,1
146,2
147,3
148,4
149,5
150,6
151,7
152,8
153,9
154,10
155,11
156,12
157,13
158,14
159,15
160,16
161,1
162,2
163,3
164,4
165,5
166,6
167,7
168,8
169,9
170,10
171,11
172,12
173,13
174,14
175,15
176,16
177,1
178,2
179,3
180,4
181,5
182,6
183,7
184,8
185,9
186,10
187,11
188,12
189,13
190,14
191,15
192,16
193,1
194,2
195,3
196,4
197,5
198,6
199,7
200,8
201,9
202,10
203,11
204,12
205,13
206,14
207,15
208,16
209,1
210,2
211,3
212,4
213,5
214,6
215,7
216,8
217,9
218,10
219,11
220,12
221,13
222,14
223,15
224,16
225,1
226,2
227,3
228,4
229,5
230,6
231,7
232,8
233,9
234,10
235,11
236,12
237,13
238,14
239,15
240,16
241,1
242,2
243,3
244,4
245,5
246,6
247,7
248,8
249,9
250,10
251,11
252,12
253,13
254,14
255,15
256,16
257,1
258,2
259,3
260,4
261,5
262,6
263,7
264,8
265,9
266,10
267,11
268,12
269,13
270,14
271,15
272,16
273,1
274,2
275,3
276,4
277,5
278,6
279,7
280,8
281,9
282,10
283,11
284,12
285,13
286,14
287,15
288,16
289,1
290,2
291,3
292,4
293,5
294,6
295,7
296,8
297,9
298,10
299,11
300,12
301,13
302,14
303,15
304,16
305,1
306,2
307,3
308,4
309,5
310,6
311,7
312,8
313,9
314,10
315,11
316,12
317,13
318,14
319,15
320,16
321,1
322,2
323,3
324,4
325,5
326,6
327,7
328,8
329,9
330,10
331,11
332,12
333,13
334,14
335,15
336,16
337,1
338,2
339,3
340,4
341,5
342,6
343,7
344,8
345,9
346,10
347,11
348,12
349,13
350,14
351,15
352,16
353,1
354,2
355,3
356,4
357,5
358,6
359,7
360,8
361,9
362,10
363,11
364,12
365,13
366,14
367,15
368,16
369,1
370,2
371,3
372,4
373,5
374,6
375,7
376,8
377,9
378,10
379,11
380,12
381,13
382,14
383,15
384,16
385,1
386,2
387,3
388,4
389,5
390,6
391,7
392,8
393,9
394,10
395,11
396,12
397,13
398,14
399,15
400,16
401,1
402,2
403,3
404,4
405,5
406,6
407,7
408,8
409,9
410,10
411,11
412,12
413,13
414,14
415,15
416,16
417,1
418,2
419,3
420,4
421,5
422,6
423,7
424,8
425,9
426,10
427,11
428,12
429,13
430,14
431,15
432,16
433,1
434,2
435,3
436,4
437,5
438,6
439,7
440,8
441,9
442,10
443,11
444,12
445,13
446,14
447,15
448,16
449,1
450,2
451,3
452,4
453,5
454,6
455,7
456,8
457,9
458,10
459,11
460,12
461,13
462,14
463,15
464,16
465,1
466,2
467,3
468,4
469,5
470,6
471,7
472,8
473,9
474,10
475,11
476,12
477,13
478,14
479,15
480,16
481,1
482,2
483,3
484,4
485,5
486,6
487,7
488,8
489,9
490,10
491,11
492,12
493,13
494,14
495,15
496,16
497,1
498,2
499,3
500,4
501,5
502,6
503,7
504,8
505,9
506,10
507,11
508,12
509,13
510,14
511,15
512,16
513,1
514,2
515,3
516,4
517,5
518,6
519,7
520,8
521,9
522,10
523,11
524,12
525,13
526,14
527,15
528,16
529,1
530,2
531,3
532,4
533,5
534,6
535,7
536,8
537,9
538,10
539,11
540,12
541,13
542,14
543,15
544,16
545,1
546,2
547,3
548,4
549,5
550,6
551,7
552,8
553,9
554,10
555,11
556,12
557,13
558,14
559,15
560,16
561,1
562,2
563,3
